engineV,Type,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
901 to 1000 cc,Petrol,5.81,5.77,5.75,5.65,5.55,5.45,5.29,5.29,5.29,5.16,4.91,4.88
1001 to 1100 cc,Petrol,6.33,5.95,5.25,5.72,5.51,5.46,5.56,5.53,5.57,5.39,5.04,5.01
1101 to 1200 cc,Petrol,6.26,6.14,6.09,6.08,6.02,5.96,5.98,5.95,5.86,5.82,5.61,5.45
1201 to 1300 cc,Petrol,6.55,6.34,6.32,6.21,6.27,6.12,5.89,5.89,5.85,5.67,5.52,5.39
1301 to 1400 cc,Petrol,6.86,6.81,6.77,6.73,6.76,6.67,6.63,6.58,6.55,6.43,6.11,5.74
1401 to 1500 cc,Petrol,6.77,6.71,6.69,6.7,6.71,6.7,6.38,6.83,6.56,6.92,6.89,6.03
1501 to 1600 cc,Petrol,7.33,7.33,7.34,7.42,7.48,7.73,7.29,7.2,7.1,6.99,6.8,6.12
1601 to 1700 cc,Petrol,7.4,7.12,5.7,5,7.51,7.48,7.5,7.17,7.02,6.68,6.6,7.08
1701 to 1800 cc,Petrol,8.33,7.97,7.87,8.19,7.87,7.78,7.6,7.86,7.61,7.43,7.16,6.92
1801 to 1900 cc,Petrol,8.09,7.72,7.97,8.18,9,8.12,8.7,7.43,8.77,7.5,7.19,7.03
1901 to 2000 cc,Petrol,9.13,9.11,8.85,8.61,8.48,8.46,8.09,8.09,7.67,7.56,7.22,7.13
2001 to 2100 cc,Petrol,9.29,9.22,9.44,9.3,9.2,9.2,8.3,7.48,7.63,8.5,8.23,7.87
2101 to 2200 cc,Petrol,9.45,9.33,9.4,9.3,8.99,9.02,8.51,9.24,9.28,8.5,9.25,7.87
2201 to 2300 cc,Petrol,9.81,9.71,9.65,9.63,9.59,9.53,9.07,9.74,9.67,9.45,9.9,7.87
2301 to 2400 cc,Petrol,11.28,9.57,8.89,8.79,9.6,9.52,9.28,9.3,9.77,9.18,9.38,8.6
2401 to 2500 cc,Petrol,9.71,10.07,10.05,9.18,9.67,9.35,9.32,9,9.11,8.92,8.86,8.7
2501 to 2600 cc,Petrol,11.13,10.88,10.86,11.15,10.73,10.38,9.86,9.72,9.68,9.37,9.49,9.4
2601 to 2700 cc,Petrol,10.01,10.02,10.95,10.53,9.7,9.72,9.55,9.63,9.61,9.3,9.27,8.7
2701 to 2800 cc,Petrol,10.73,11.02,11.11,10.14,10.84,11.43,10.66,10.22,10.75,9.2,9.27,8
2801 to 2900 cc,Petrol,10.99,11.11,11.16,10.62,11.09,11.11,11.11,11.11,9.87,9.1,9.27,8.1
2901 to 3000 cc,Petrol,11.24,11.21,11.22,11.1,11.35,10.79,9.53,9.33,8.98,8.99,9.05,8.19
> 3000 cc,Petrol,12.12,12.29,11.7,11.98,11.89,12.29,12.6,11.97,12,10.97,11.45,11.89
901 to 1000 cc,Diesel,5.43,4.85,4.85,4.85,4.8,4.94,4.88,4.79,4.8,4.72,3.86,3.6
1001 to 1100 cc,Diesel,4.85,4.85,4.85,4.85,4.8,4.94,4.88,4.79,4.8,4.72,3.86,3.6
1101 to 1200 cc,Diesel,4.85,4.85,4.85,4.85,4.8,4.94,4.88,4.79,4.8,4.72,3.86,3.91
1201 to 1300 cc,Diesel,4.85,4.85,4.85,4.85,4.8,4.94,4.88,4.79,4.8,4.72,4.71,4.25
1301 to 1400 cc,Diesel,4.5,4.53,4.49,4.51,4.46,5.04,4.71,4.89,4.86,4.71,4.61,4.58
1401 to 1500 cc,Diesel,4.5,4.56,4.56,4.61,4.71,4.87,4.92,5.1,5.02,4.98,4.79,4.68
1501 to 1600 cc,Diesel,5.3,5.2,5.2,6.9,5.19,5.22,5.15,5.04,4.89,4.87,4.6,4.5
1601 to 1700 cc,Diesel,4.81,4.83,4.85,4.67,4.99,5.11,5.07,5.06,5.14,5.09,4.84,5.26
1701 to 1800 cc,Diesel,6.18,5.36,5.47,5.45,5.44,5.55,6.01,6.04,5.82,5.46,5.62,5.88
