Date,Berri 1,Brébeuf (données non disponibles),Côte-Sainte-Catherine,Maisonneuve 1,Maisonneuve 2,du Parc,Pierre-Dupuy,Rachel1,St-Urbain (données non disponibles)
2012-07-29,4230,,1332,1791,4235,1905,3731,4906,
2012-07-03,438,,3,290,715,266,28,0,
2012-01-23,210,,6,114,357,91,6,0,
2012-11-03,380,,60,253,540,289,0,285,
2012-05-06,5842,,2721,3927,7302,3786,1232,5348,
2012-01-10,3255,,1576,2184,3830,2582,397,2987,
2012-12-05,3854,,1457,2429,3894,1805,2268,4855,
2012-07-28,4105,,1345,2504,4540,1767,2468,4631,
2012-03-25,520,,243,309,691,427,145,723,
2012-05-19,4732,,1454,2807,4673,1966,2914,5293,
2012-05-28,4268,,1962,3449,5798,2898,1027,3894,
2012-01-07,4758,,1343,2911,3935,1777,3732,4522,
2012-02-28,195,,0,158,350,168,9,3,
2012-05-16,4947,,2178,3681,5882,3057,1332,4348,
2012-01-02,138,,0,100,271,71,5,0,
2012-01-30,219,,0,146,371,152,2,0,
2012-04-02,84,,0,53,119,44,8,0,
2012-04-06,2717,,1408,2095,4276,2168,333,3090,
2012-01-09,3934,,1225,2371,3917,1887,2801,3845,
2012-07-09,6186,,2720,4153,7323,3886,2051,6104,
2012-11-02,71,,0,63,112,49,3,0,
2012-03-04,2416,,1078,1791,3556,1880,513,2450,
2012-06-06,6037,,2724,4273,7822,3987,1223,5269,
2012-10-09,5077,,2792,3718,6644,3849,1271,4984,
2012-12-02,78,,0,36,91,53,5,0,
2012-06-10,1304,,469,933,1589,776,236,1775,
2012-04-23,623,,315,544,1076,612,27,846,
2012-05-14,6189,,2709,4402,7006,3868,2215,5775,
2012-10-03,182,,13,162,296,165,0,58,
2012-09-05,3297,,1545,2700,4343,2340,737,3129,
2012-10-27,1857,,792,1244,2461,1193,618,2471,
2012-08-31,4106,,1868,2999,5054,2541,875,4188,
2012-04-16,3643,,1841,2723,4830,2677,1061,3616,
2012-03-03,82,,0,65,133,47,2,0,
2012-07-19,6309,,2397,3996,7699,3777,2647,5665,
2012-03-30,1157,,529,910,1596,957,196,1288,
2012-12-03,802,,179,618,1265,747,0,548,
2012-07-08,5997,,2410,3622,6840,3480,2780,4903,
2012-03-08,5577,,1915,3306,6427,2789,3195,5031,
2012-01-22,71,,0,41,73,35,5,0,
2012-01-24,299,,1,189,444,174,4,0,
2012-06-21,5183,,2195,3297,6684,3272,2265,4957,
2012-09-17,5299,,2658,3670,6582,4076,1704,4788,
2012-09-10,4787,,2210,3026,5138,3418,927,4078,
2012-09-26,3948,,1873,2720,4755,3119,650,3721,
2012-10-21,1277,,609,869,1777,898,242,1648,
2012-04-13,3341,,1505,2565,4465,2358,922,3728,
2012-12-01,157,,1,134,261,137,9,63,
2012-05-13,2741,,1223,1703,3086,1592,1394,3496,
2012-05-27,4396,,1525,2578,4587,2073,2886,5168,
2012-09-07,5661,,2330,3524,6769,3577,2599,4987,
2012-07-24,5243,,2318,3465,6721,3317,2170,4694,
2012-01-14,32,,0,54,56,19,0,1,
2012-08-25,4242,,1305,2358,4126,1726,2558,4833,
2012-04-08,4223,,1305,2019,4425,1769,2939,4467,
2012-03-17,681,,287,422,872,468,334,1008,
2012-12-08,3995,,1338,1937,3427,1719,2988,4178,
2012-08-30,6003,,2910,4199,6781,3481,1796,5202,
2012-01-20,161,,4,96,217,67,1,1,
2012-03-23,2115,,1143,1512,2955,1791,663,2325,
2012-09-29,1896,,755,1206,1963,1062,442,2267,
2012-03-07,6712,,2634,4398,7416,3896,2606,5462,
2012-02-23,397,,10,293,528,329,22,13,
2012-07-30,5225,,2285,2975,6219,3196,2564,5100,
2012-05-24,6485,,2653,4600,7600,3792,2062,5209,
2012-09-04,828,,298,560,1048,605,65,1001,
2012-02-14,318,,0,186,504,243,9,1,
2012-07-25,6104,,2593,3786,7073,3622,3132,5059,
2012-08-13,4931,,2298,3124,5936,3151,2090,4842,
2012-10-07,6500,,2625,4064,7436,3749,2822,5952,
2012-04-07,5153,,2038,3591,5814,3070,1246,4493,
2012-10-15,3292,,1678,2165,4197,2754,560,3183,
2012-01-18,139,,0,66,188,68,3,0,
2012-08-08,5498,,2313,3365,6862,3403,2226,4771,
2012-04-21,533,,212,398,710,408,50,755,
2012-03-24,753,,336,517,1001,635,277,1035,
2012-10-17,4098,,1964,2645,4836,3063,728,3834,
2012-05-08,1864,,630,1100,2327,970,1066,2268,
2012-10-13,1783,,802,1205,2113,1183,681,2309,
2012-11-10,3746,,1857,2569,4694,3034,558,3457,
2012-01-25,334,,1,217,453,180,4,0,
2012-09-21,4022,,1821,2911,4745,2945,889,3886,
2012-05-04,2424,,1036,1823,3273,1699,355,2463,
2012-07-27,5759,,1948,3658,6851,3275,2653,5295,
2012-02-07,4144,,1397,2658,3998,1883,2783,4464,
2012-10-14,587,,287,443,852,503,65,952,
2012-02-13,211,,0,175,408,207,4,0,
2012-10-02,303,,1,206,478,216,6,2,
2012-03-26,968,,564,729,1493,965,130,1168,
2012-12-06,3361,,1556,2362,4230,2381,589,3030,
2012-02-15,307,,0,180,491,232,5,1,
2012-08-17,4236,,1777,3099,4979,2581,586,4154,
2012-02-17,332,,3,237,496,260,11,1,
2012-08-02,271,,0,202,503,215,4,1,
2012-06-19,5382,,2360,3447,6679,3438,1711,5015,
2012-10-06,5112,,1812,2905,4798,2328,1833,6170,
2012-04-17,3539,,1616,2636,4592,2450,544,3333,
2012-09-18,2530,,1277,1695,3254,2275,388,2377,
