IE_XML_ID;IE_NAME;IP_PROP30;IP_PROP31;IP_PROP32;CP_QUANTITY;CR_PRICE_1_USD
370;Футболка Женская Чистота;white;;L;100;10.89
338;Нижнее белье Огонек в Ночи;black;;M;100;21.79
402;Футболка Женский Соблазн;white;;S;100;12.34
244;Штаны Цветочная Поляна;red;;S;100;31.97
273;Платье Ночная Жизнь;black;;L;100;65.4
393;Футболка Мужской Огонь;red;;S;100;11.32
584;Ремень Радуга;blue;;M;100;5.67
552;Туфли Ультра Лайн;brown;36.0;;100;40.69
508;Пантолеты Кости на Пляже;black;38.0;;100;13.07
444;Спортивный Костюм Розовый Вихрь;pink;;M;100;37.36
633;Ремень Плетение;red;;XS;100;10.9
463;Спортивный Костюм Вечерний Спорт;white;;S;100;39.24
621;Ремень Строчка;brown;;L;100;11.62
189;Штаны Полосатый Рейс;green;;XS;100;29.06
490;Туфли Летняя Легкость;white;38.0;;100;29.06
527;Туфли Ультра Лайн;jeans;39.0;;100;40.69
453;Спортивный Костюм Дыхание Спорта;white;;M;100;38.23
460;Спортивный Костюм Вечерний Спорт;white;;XL;100;39.24
458;Спортивный Костюм Вечерний Спорт;white;;L;100;39.24
312;Нижнее белье Интимный Вечер;white;;XS;100;15.98
291;Нижнее белье Морская Волна;see;;L;100;18.88
506;Пантолеты Кости на Пляже;black;36.0;;100;13.07
382;Футболка Женская Ночь;black;;XS;100;11.03
337;Нижнее белье Огонек в Ночи;black;;XS;100;21.79
259;Платье Модница на Прогулке;blue;;M;0;72.67
554;Туфли Ультра Лайн;brown;38.0;;100;40.69
576;Ремень Радуга;pink;;XS;100;5.67
575;Ремень Радуга;pink;;XL;100;5.67
608;Ремень Класика;black;;S;100;17.3
515;Туфли Полет Валькирии;blue;36.0;;100;36.33
191;Штаны Полосатый Рейс;green;;S;100;29.06
399;Футболка Женский Соблазн;white;;XL;100;12.34
190;Штаны Полосатый Рейс;green;;M;99;29.06
612;Ремень Элегантность;brown;;L;100;10.61
525;Туфли Ультра Лайн;jeans;37.0;;100;40.69
415;Спортивный Костюм Огонь в Ночи;black;;L;100;36.33
284;Платье Красная Фея;red;;XL;100;58.13
632;Ремень Плетение;red;;XL;100;10.9
203;Штаны Полосатый Рейс;blue;;XS;100;29.06
410;Спортивный Костюм Нежная Теплота;azure;;M;100;33.87
545;Туфли Ультра Лайн;flowers;36.0;;100;40.69
320;Нижнее белье Интимный Вечер;black;;M;100;17.43
182;Штаны Полосатый Рейс;purple;;XS;100;29.06
277;Платье Ночная Жизнь;black;;M;100;65.4
540;Туфли Ультра Лайн;red;38.0;;100;40.69
287;Платье Красная Фея;red;;S;99;58.13
183;Штаны Полосатый Рейс;purple;;M;100;29.06
249;Штаны Цветочная Поляна;green;;XS;100;31.97
255;Платье Модница на Прогулке;blue;;L;100;72.67
